player,matches_played,average_placement,top4_rate,win_rate,average_level,placement_standard_deviation,bottom4_rate,best_placement,worst_placement,average_damage_to_players,average_players_eliminated,average_gold_left
WTke0kA1zecp24gYZN1ZFVyV2f9pyRjMsI8SuHtyeIQ9vARdTpkErTfn4p8G70p2m2Jq30i3mBkTNg,20,2.6,90.0,30.0,9.4,1.39,10.0,1,5,145.6,1.4,8.4
wsxiohAEbYLRq5Ib_0E8NQ3DZKeiYSKQkvMM33C8uoMj_qr0esxxIlH3cXfCPA_H4VtrBc5D-ncXoQ,20,2.9,75.0,40.0,9.1,2.3,25.0,1,8,144.85,1.55,8.8
2hUJ8pUPEXMzFBFxzkYNcAPOV9wIjDIMeig_Be-qmo3mVU_7n0sFPawoS_OqM4YJb3Aw4D07ZtzQ5Q,20,3.45,70.0,20.0,8.55,1.99,30.0,1,7,126.0,1.4,6.45
ecrn9Tlv5mHibXti1d6BOWT93qfrhRcBm_h9X9EJFII8mz5TpTLalxFRlJFlmfyL5c-g_syvBCqsow,20,2.95,80.0,40.0,8.9,2.22,20.0,1,8,140.3,1.6,12.4
1Cfcb_sR0zjPLkO9fFeB66X0N3IvJbad1bbnSER2M1Xk42WHH5TgiPBoDsDKtHAQeb4RHcXSwcDqEg,20,2.9,80.0,40.0,9.35,2.0,20.0,1,8,137.15,1.25,6.8
YJRYMtpYpkVp-Sp4IMZ4nS2lac2Di_Jx7Hgx8f6ex9G3Hgtl4IZlZtkqXJ8XzJqCZx8BjkC9yUUKNQ,20,3.45,70.0,25.0,9.05,2.11,30.0,1,8,122.2,0.85,13.9
s3waRk41KHE3IEMWOYuyjvKcToSXAJKDIwZd-zPxopI7pF5nyaqodGkZUcPulNTuboZf-N1IYDCbBg,20,3.35,90.0,25.0,8.9,1.85,10.0,1,8,126.15,1.6,8.25
SMd7It3pnpHSzq-sdpRy-GiZ6kbGz0EDMtFQypHK50l_WhD7hZYKIXcgjidHSg6PjJusrFzLM8iKzw,20,3.7,60.0,10.0,8.95,1.98,40.0,1,7,114.85,0.95,5.1
H_kNQgWnuFI8-fugFl5GcF0PQt6_IvPcXkRhCfGCQj7IGuCg0M62m890qojZxTRHVC2Djrs4AtumMg,20,3.95,60.0,0.0,8.75,2.16,40.0,2,8,117.95,0.9,8.6
pVNrz-4O1YoSHgvjYoRBCeyfuUIrMjl6QKD_WCwReIOr8rCfQUTdNb8Sc8urVd3jNcG51vyt9czQ1Q,20,4.75,35.0,5.0,8.8,2.12,65.0,1,8,100.2,0.75,7.2
RFhk38W6XDWFGLtC4ml_9Y1lhuL3gl86B0OUNeb3EQYvgF_gN-YOU78jQfqorDS430qmP651UXS3Aw,20,3.35,80.0,15.0,9.05,1.59,20.0,1,7,130.6,0.95,12.45
t_WZscXDl9FdrzzuWMZriOBv_Ay-mU_SptYh-HBIkEZk9VQcuzdnQMMwv5PhvoTn93WFKYKT5W3flg,20,2.85,80.0,40.0,9.2,2.03,20.0,1,8,125.4,1.45,16.05
vFgdyZ_POjCK_QPBsmQKdG9SkGJ8I2tnhdkPjsWLL79rVSq_oyf8ROvhIAfPC3RrEzncUg7RgmqS1A,20,3.7,75.0,15.0,8.7,2.15,25.0,1,8,121.75,1.15,19.8
HRwhrgwy7AbeXtDjiQdrLs0VuV8novuyGGk3alkMPV0G2BXVVB0U1wr-nFvcoIpd-DkG8o3Z4eurkg,20,3.85,60.0,5.0,8.2,1.74,40.0,1,7,116.0,0.85,8.05
2MojuFp5uu1MV2UZl-mGQ1HYPd7YxDQoBSaIC2QR9lKPa0pCGLoedwsanrA111I8lFiZJdSoYl7HwQ,20,3.0,85.0,15.0,9.05,1.97,15.0,1,8,114.75,1.65,6.4
4W5EIk3PRyUh78Cku36IPW9Tda7vV99yWGwb-bm7TrF3eUIFMT_Ed_0ofpFbdisSZUS5YOjjInKTZA,20,3.35,70.0,25.0,9.0,2.03,30.0,1,8,125.6,1.05,5.1
ieM-YGm1LXAcS2R-7AljoPJNM2PW8Ld02rCfHHKbuqRExg1L-qGZr0sJndpf61a4oo3FVZdEEvDm2g,20,3.0,70.0,40.0,8.1,2.19,30.0,1,7,116.5,1.25,3.7
cqReYZww4y8nNfyIWGAbYFh96tc2tfqY3RysWeFs8r1biLjK7VE_t6SZWM6oL0WOXPGz1wXXdawDPw,20,4.0,60.0,15.0,9.15,2.39,40.0,1,8,115.3,0.9,6.4
xP-aJ8Q6_ngc3BiLPEm7fyXYQB3C80SEH_1uEfeuI894dUc03d0YjP3yYwy9lbAuLS9i50ElgynYoQ,20,3.2,80.0,20.0,8.95,2.01,20.0,1,8,138.55,1.4,6.4
b23Nt8hKz7s28DHKMBtLbG9uVKUBVTgoJss1bVbp5VTV4bx_31EElo-RIaGCAzSge9xFD9um2MLOWQ,20,3.65,75.0,30.0,8.5,2.67,25.0,1,8,131.85,1.1,5.5
2DCoA3X-pQRU_P5Qw79sJ2Mz4BvoTDZ2K2clL3OrTGK32AKGYcfxU2nbCIostb3Hhn2VfWQtxzZorA,20,3.65,70.0,10.0,8.95,1.68,30.0,1,7,121.95,0.95,2.0
5Qnb-kDI09xb4vJmxJhVbi-icdkG8KiPM_fgfXz2G8OBKwdvPa30fMQs9RyZym7-tQe3TO7JI7Hy7g,20,4.15,60.0,10.0,8.95,2.41,40.0,1,8,113.55,1.0,5.7
HeVybe_ftqyP53yvdI1EX1qXDz3l-NmEmMIAj35ars7YHhSZ5hD0cr9HYCRt9vvpiOzIJjsWCe07KA,20,3.85,60.0,20.0,8.8,2.31,40.0,1,8,98.1,1.2,9.0
OZButPDtzQE81Jn_VqiyBdjAb0CJPr7qGZ0pS_Gt5Kkkradaej3W9U4w0T057DmvV8KlKe2FDO0j7w,20,3.15,70.0,45.0,9.1,2.55,30.0,1,8,127.6,1.55,6.55
mzH-Nl1_XhN6P2KXgV1RlAU1DPyYZ5ooJiCFWZgwmBqBB71OzY7wQ0ijAikCrF9Qkm06kUXebqWe9g,20,2.85,80.0,35.0,8.9,2.03,20.0,1,8,137.2,1.5,6.6
f_UIxv0F2FTikNc8ds2u_FbaJ0G4HOpP35pvE0D63mH1JmX4HFnnc7EVscFIheXbNg4Q674KrS32Uw,20,2.75,75.0,40.0,9.0,1.95,25.0,1,7,133.4,1.5,9.25
B4_iG2iq6KHGJlvEmAhAjSUxCSHdegbIOLMbuL2W6XqeqTdrQElJYaHWJeNAAUenlRGZEOCaJAYBkQ,20,3.3,70.0,20.0,9.05,2.26,30.0,1,8,100.55,1.6,8.65
OpMTWAtciHye_klklqigb89Jjkc_RkPnKiCl5K6-FOadisFg0OZGF-R1c7m4k1NIoUCbJIlmD3RBMw,20,3.5,70.0,30.0,8.9,2.42,30.0,1,8,124.1,1.1,9.7
I1sgFmVTPGHj6XDr1EjbaqV8DZ_iVKhzOu18oiHq6s0zMNkXtMjKl90yTaUhITVcmoJ2FumLV1WNiA,20,3.2,70.0,25.0,9.0,1.96,30.0,1,7,113.4,1.25,8.15
CM8whHiZb6dEv0rPbrcqMwk-KDGtfT-yvlnaLRkTMg6EmlVCz4shbCrbyALgCgV4NqWhik_LMKhJ-A,20,3.1,80.0,15.0,8.95,1.79,20.0,1,7,129.3,1.0,11.85
_dtxGk-YjihLMBkONjfM3yzWtfHNvEZQrXKQOujjRTCTSWVYjskx9P7sDBgamsXUoEYr3H2Q9fMdtA,20,3.45,70.0,10.0,8.85,1.72,30.0,1,7,117.5,0.85,10.1
gNKqPpkFllfgJ_pWvE_S35gFOQuq7_WUaLBvXjeV6K-MSQETT2pyz14d7RY6VmPe3j5_qDvRx05Acw,20,2.95,75.0,35.0,8.5,2.22,25.0,1,8,134.75,1.55,11.25
qKHLq0kQwH8IgtYAkgIgVuyUCb_AQrE4EQwGEWVI9xD86sBxeg6Za1xf3UFWSk1nM2jzE437DwLs1w,20,3.35,70.0,20.0,8.85,2.13,30.0,1,7,114.75,1.35,7.35
eNaLSpfPT3YUkL2GGQD6rWPK9zd9UgvhxUyZpvtEz1JwFTr4gueboXE6UwFjq1yinLodU1u14VReSQ,20,3.6,75.0,20.0,9.15,2.15,25.0,1,8,122.7,1.15,5.85
hENYdgqkoADiEyX0NvDS8teeSO2kLexUJzSxrFkGwIyrhiJmOWj6uEBJj2XebGq2llGwNdBkt7Y4nA,20,3.9,60.0,20.0,8.7,1.97,40.0,1,7,118.4,1.3,6.75
l9MCZDOGWOmBaxJGiAK10G7abl_ZDRaOl8xReTZRi8ZS6KVRUQWYBRUmJiyP-0EOumEKHu4GL9dXQw,20,3.4,75.0,30.0,8.7,2.31,25.0,1,8,119.95,1.25,5.55
bxaqYcBSZq-Hc9aRUNzJ4Q4X1QUOiefbxpWYebN5D4N0kRLf7nIieI-_8ZScsNER73IuyKFUL4SiTQ,20,2.65,90.0,50.0,9.4,1.93,10.0,1,7,93.65,2.45,4.6
hzAC7LWRGId_MXu3NIE_0ck2gd9xTY8Q5Svu4CtRFYVzgFgswhGqcToveB3tj7jDrxuWQNywN9CbUw,20,2.75,80.0,35.0,8.45,1.84,20.0,1,7,146.5,1.3,7.55
