metric,correlation,absolute_correlation
top4_rate,-0.8976710717755181,0.8976710717755181
bottom4_rate,0.8976710717755177,0.8976710717755177
average_players_eliminated,-0.7608832475272577,0.7608832475272577
win_rate,-0.7408309983636425,0.7408309983636425
average_damage_to_players,-0.6828934650962037,0.6828934650962037
average_level,-0.5200989099609266,0.5200989099609266
average_gold_left,0.38245487033014786,0.38245487033014786
worst_placement,0.3154648196889045,0.3154648196889045
placement_standard_deviation,0.28245828464663114,0.28245828464663114
best_placement,0.10795944185815125,0.10795944185815125
