,count,mean,std,min,25%,50%,75%,max
matches_played,50.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0
average_placement,50.0,3.5179999999999993,0.5774468789067819,2.6,3.1125,3.45,3.85,5.2
top4_rate,50.0,69.1,12.192754623386893,35.0,60.0,70.0,78.75,90.0
win_rate,50.0,22.9,11.609724987514316,0.0,15.0,20.0,30.0,50.0
average_level,50.0,8.836,0.30170265129083373,8.1,8.7,8.9,9.05,9.4
placement_standard_deviation,50.0,2.0828,0.24993092923396878,1.39,1.9625,2.09,2.2125000000000004,2.67
bottom4_rate,50.0,30.9,12.192754623386895,10.0,21.25,30.0,40.0,65.0
best_placement,50.0,1.02,0.14142135623730948,1.0,1.0,1.0,1.0,2.0
worst_placement,50.0,7.6,0.6060915267313265,5.0,7.0,8.0,8.0,8.0
average_damage_to_players,50.0,121.084,13.497189578968365,87.3,114.75,121.425,129.4125,146.5
average_players_eliminated,50.0,1.1869999999999998,0.3381839253230981,0.5,0.95,1.1749999999999998,1.4,2.45
average_gold_left,50.0,9.577,9.071109161980768,2.0,6.2875,8.100000000000001,10.549999999999999,68.0
