riot_item_id,display_name_ptbr,communitydragon_api_name,resolution_status,resolution_method,resolution_score,candidate_count,item_type_candidate,observed_uses,carry_uses,tank_uses,support_uses,manual_category,manual_role_label,carry_weight,tank_weight,support_weight,learning_enabled,confirmed,notes
DA_GargoyleStoneplate,Placa Gargolítica,DA_GargoyleStoneplate,ambiguous,exact_api_name,100,2,completed,2782,76,2620,86,,,,,,,False,
DA_WarmogsArmor,Armadura de Warmog,DA_WarmogsArmor,ambiguous,exact_api_name,100,2,completed,1888,93,1748,47,,,,,,,False,
DA_SpearOfShojin,Lança de Shojin,DA_SpearOfShojin,ambiguous,exact_api_name,100,2,completed,1643,1600,18,25,,,,,,,False,
DA_GuinsoosRageblade,Lâmina da Fúria de Guinsoo,DA_GuinsoosRageblade,ambiguous,exact_api_name,100,2,completed,1569,1509,44,16,,,,,,,False,
DA_InfinityEdge,Gume do Infinito,DA_InfinityEdge,ambiguous,exact_api_name,100,2,completed,1375,1295,76,4,,,,,,,False,
DA_SpiritVisage,Semblante Espiritual,DA_SpiritVisage,resolved_candidate,exact_api_name,100,1,completed,1361,76,1248,37,,,,,,,False,
DA_AdaptiveHelm,Elmo Adaptativo,DA_AdaptiveHelm,ambiguous,exact_api_name,100,2,completed,1229,572,625,32,,,,,,,False,
DA_JeweledGauntlet,Manopla Adornada,DA_JeweledGauntlet,ambiguous,exact_api_name,100,2,completed,1226,1184,33,9,,,,,,,False,
DA_ProtectorsVow,Juramento do Protetor,DA_ProtectorsVow,resolved_candidate,exact_api_name,100,1,completed,1154,138,1002,14,,,,,,,False,
DA_Crownguard,Stemmaguarda,DA_Crownguard,ambiguous,exact_api_name,100,2,completed,1115,103,991,21,,,,,,,False,
DA_EdgeOfNight,Limiar da Noite,DA_EdgeOfNight,resolved_candidate,exact_api_name,100,1,completed,1112,913,198,1,,,,,,,False,
DA_ThiefsGloves,Luvas do Ladrão,DA_ThiefsGloves,ambiguous,exact_api_name,100,2,completed,1100,568,513,19,,,,,,,False,
DA_GiantSlayer,Mata-Gigantes,DA_GiantSlayer,resolved_candidate,exact_api_name,100,1,completed,1036,944,84,8,,,,,,,False,
DA_RedBuff,Efeito Vermelho,DA_RedBuff,ambiguous,exact_api_name,100,2,completed,1006,948,45,13,,,,,,,False,
DA_VoidStaff,Cajado do Vazio,DA_VoidStaff,resolved_candidate,exact_api_name,100,1,completed,965,901,43,21,,,,,,,False,
DA_RabadonsDeathcap,Capuz da Morte de Rabadon,DA_RabadonsDeathcap,ambiguous,exact_api_name,100,2,completed,946,902,31,13,,,,,,,False,
DA_SteraksGage,Sinal de Sterak,DA_SteraksGage,ambiguous,exact_api_name,100,2,completed,931,538,389,4,,,,,,,False,
DA_StrikersFlail,Mangual do Guerreiro,DA_StrikersFlail,resolved_candidate,exact_api_name,100,1,completed,890,847,39,4,,,,,,,False,
DA_ArchangelsStaff,Cajado do Arcanjo,DA_ArchangelsStaff,ambiguous,exact_api_name,100,2,completed,845,774,65,6,,,,,,,False,
DA_Deathblade,Lâmina Mortal,DA_Deathblade,ambiguous,exact_api_name,100,2,completed,812,741,71,0,,,,,,,False,
DA_HextechGunblade,Pistola Laminar Hextec,DA_HextechGunblade,ambiguous,exact_api_name,100,2,completed,736,671,60,5,,,,,,,False,
DA_KrakensFury,Fúria do Cráquem,DA_KrakensFury,resolved_candidate,exact_api_name,100,1,completed,729,672,53,4,,,,,,,False,
DA_LastWhisper,Último Sussurro,DA_LastWhisper,ambiguous,exact_api_name,100,2,completed,721,673,46,2,,,,,,,False,
DA_SteadfastHeart,Coração Inabalável,DA_SteadfastHeart,resolved_candidate,exact_api_name,100,1,completed,718,75,628,15,,,,,,,False,
DA_BlueBuff,Efeito Azul,DA_BlueBuff,ambiguous,exact_api_name,100,2,completed,662,611,37,14,,,,,,,False,
DA_DragonsClaw,Garra do Dragão,DA_DragonsClaw,ambiguous,exact_api_name,100,2,completed,655,57,587,11,,,,,,,False,
DA_Quicksilver,Mercúrio,DA_Quicksilver,ambiguous,exact_api_name,100,2,completed,632,480,151,1,,,,,,,False,
DA_Evenshroud,Proteção Imutável,DA_Evenshroud,resolved_candidate,exact_api_name,100,1,completed,628,77,529,22,,,,,,,False,
DA_Morellonomicon,Morellonomicon,DA_Morellonomicon,ambiguous,exact_api_name,100,2,completed,626,569,39,18,,,,,,,False,
DA_SunfireCape,Capa de Fogo Solar,DA_SunfireCape,resolved_candidate,exact_api_name,100,1,completed,588,76,497,15,,,,,,,False,
